region_id,region_label,profile,mean,q05,q95,p_talarico
2594090,"County 259, VTD 4090 (suburbs)",suburbs,0.28805571466930735,0.22134078704618912,0.3611935890383264,0
2594100,"County 259, VTD 4100 (suburbs)",suburbs,0.28183315908093637,0.21600367891797911,0.3542027802814814,1e-5
2610001,"County 261, VTD 0001 (rural)",rural,0.3313852628597612,0.2601009311989314,0.4079607295803639,2.8e-4
2610002,"County 261, VTD 0002 (hispanic)",hispanic,0.4425429770705464,0.36087464515830425,0.5262467373787971,0.12799
2610003,"County 261, VTD 0003 (hispanic)",hispanic,0.39948488067568627,0.32086208184686343,0.48155604922759687,0.0225
2610004,"County 261, VTD 0004 (rural)",rural,0.20457719566917912,0.15342275501550318,0.26258306219693783,0
2610005,"County 261, VTD 0005 (hispanic)",hispanic,0.18899676354172465,0.140857466754902,0.2439633362143992,0
2610006,"County 261, VTD 0006 (rural)",rural,0.4174844521836675,0.33748501949327864,0.5003543929993353,0.05078
2630101,"County 263, VTD 0101 (rural)",rural,0.14395787780812153,0.10332710340437742,0.1917174623977347,0
2630201,"County 263, VTD 0201 (rural)",rural,0.16611576674942458,0.12016479467454513,0.21960398430943648,0
2630202,"County 263, VTD 0202 (rural)",rural,0.11826031894310626,0.08412830574206752,0.1588340658651489,0
2630301,"County 263, VTD 0301 (rural)",rural,0.17201043232871077,0.12460887374047472,0.2270587747925815,0
2630302,"County 263, VTD 0302 (rural)",rural,0.0897567258394573,0.06312180033955841,0.12183757218551505,0
2630401,"County 263, VTD 0401 (rural)",rural,0.18039332980255968,0.1313126113326576,0.23713520869124555,0
2650101,"County 265, VTD 0101 (rural)",rural,0.27669528565644125,0.2121925846979205,0.347706673246144,0
2650107,"County 265, VTD 0107 (rural)",rural,0.24842222454674506,0.18887712149876779,0.3147413244090787,0
2650109,"County 265, VTD 0109 (rural)",rural,0.25903215385826645,0.19771225005111626,0.32701515893565736,0
2650113,"County 265, VTD 0113 (suburbs)",suburbs,0.36226978887377553,0.2865405534105701,0.4426262521484814,0.00317
2650118,"County 265, VTD 0118 (rural)",rural,0.33353548150464407,0.26151150022691005,0.4108767140639967,4e-4
